,Message,Timestamp,Value,Geometry
0,loading start,2019-03-11 10:04:52.499092,0.0,POINT (4.25222222 52.11428333)
1,loading stop,2019-03-11 11:00:25.832425,5000.0,POINT (4.25222222 52.11428333)
2,loading start,2019-03-11 13:02:19.980699,5000.0,POINT (4.25222222 52.11428333)
3,loading stop,2019-03-11 13:57:53.314032,10000.0,POINT (4.25222222 52.11428333)
4,loading start,2019-03-11 15:59:47.462306,10000.0,POINT (4.25222222 52.11428333)
5,loading stop,2019-03-11 16:55:20.795640,15000.0,POINT (4.25222222 52.11428333)
6,loading start,2019-03-11 18:57:14.943914,15000.0,POINT (4.25222222 52.11428333)
7,loading stop,2019-03-11 19:52:48.277247,20000.0,POINT (4.25222222 52.11428333)
8,loading start,2019-03-11 21:54:42.425521,20000.0,POINT (4.25222222 52.11428333)
9,loading stop,2019-03-11 22:50:15.758855,25000.0,POINT (4.25222222 52.11428333)
10,loading start,2019-03-12 00:52:09.907129,25000.0,POINT (4.25222222 52.11428333)
11,loading stop,2019-03-12 01:47:43.240462,30000.0,POINT (4.25222222 52.11428333)
12,loading start,2019-03-12 03:49:37.388736,30000.0,POINT (4.25222222 52.11428333)
13,loading stop,2019-03-12 04:45:10.722070,35000.0,POINT (4.25222222 52.11428333)
14,loading start,2019-03-12 06:47:04.870344,35000.0,POINT (4.25222222 52.11428333)
15,loading stop,2019-03-12 07:42:38.203677,40000.0,POINT (4.25222222 52.11428333)
16,loading start,2019-03-12 09:44:32.351951,40000.0,POINT (4.25222222 52.11428333)
17,loading stop,2019-03-12 10:40:05.685284,45000.0,POINT (4.25222222 52.11428333)
18,loading start,2019-03-12 12:41:59.833559,45000.0,POINT (4.25222222 52.11428333)
19,loading stop,2019-03-12 13:37:33.166892,50000.0,POINT (4.25222222 52.11428333)
20,loading start,2019-03-12 15:39:27.315166,50000.0,POINT (4.25222222 52.11428333)
21,loading stop,2019-03-12 16:35:00.648499,55000.0,POINT (4.25222222 52.11428333)
22,loading start,2019-03-12 18:36:54.796773,55000.0,POINT (4.25222222 52.11428333)
23,loading stop,2019-03-12 19:32:28.130107,60000.0,POINT (4.25222222 52.11428333)
24,loading start,2019-03-12 21:34:22.278381,60000.0,POINT (4.25222222 52.11428333)
25,loading stop,2019-03-12 22:29:55.611714,65000.0,POINT (4.25222222 52.11428333)
26,loading start,2019-03-13 00:31:49.759988,65000.0,POINT (4.25222222 52.11428333)
27,loading stop,2019-03-13 01:27:23.093322,70000.0,POINT (4.25222222 52.11428333)
28,loading start,2019-03-13 03:29:17.241596,70000.0,POINT (4.25222222 52.11428333)
29,loading stop,2019-03-13 04:24:50.574929,75000.0,POINT (4.25222222 52.11428333)
30,loading start,2019-03-13 06:26:44.723203,75000.0,POINT (4.25222222 52.11428333)
31,loading stop,2019-03-13 07:22:18.056536,80000.0,POINT (4.25222222 52.11428333)
32,loading start,2019-03-13 09:24:12.204811,80000.0,POINT (4.25222222 52.11428333)
33,loading stop,2019-03-13 10:19:45.538144,85000.0,POINT (4.25222222 52.11428333)
34,loading start,2019-03-13 12:21:39.686418,85000.0,POINT (4.25222222 52.11428333)
35,loading stop,2019-03-13 13:17:13.019751,90000.0,POINT (4.25222222 52.11428333)
36,loading start,2019-03-13 15:19:07.168025,90000.0,POINT (4.25222222 52.11428333)
37,loading stop,2019-03-13 16:14:40.501359,95000.0,POINT (4.25222222 52.11428333)
38,loading start,2019-03-13 18:16:34.649633,95000.0,POINT (4.25222222 52.11428333)
39,loading stop,2019-03-13 19:12:07.982966,100000.0,POINT (4.25222222 52.11428333)
40,loading start,2019-03-13 21:14:02.131240,100000.0,POINT (4.25222222 52.11428333)
41,loading stop,2019-03-13 22:09:35.464574,105000.0,POINT (4.25222222 52.11428333)
42,loading start,2019-03-14 00:11:29.612848,105000.0,POINT (4.25222222 52.11428333)
43,loading stop,2019-03-14 01:07:02.946181,110000.0,POINT (4.25222222 52.11428333)
44,loading start,2019-03-14 03:08:57.094455,110000.0,POINT (4.25222222 52.11428333)
45,loading stop,2019-03-14 04:04:30.427788,115000.0,POINT (4.25222222 52.11428333)
46,loading start,2019-03-14 06:06:24.576063,115000.0,POINT (4.25222222 52.11428333)
47,loading stop,2019-03-14 07:01:57.909396,120000.0,POINT (4.25222222 52.11428333)
48,loading start,2019-03-14 09:03:52.057670,120000.0,POINT (4.25222222 52.11428333)
49,loading stop,2019-03-14 09:59:25.391003,125000.0,POINT (4.25222222 52.11428333)
50,loading start,2019-03-14 12:01:19.539278,125000.0,POINT (4.25222222 52.11428333)
51,loading stop,2019-03-14 12:56:52.872611,130000.0,POINT (4.25222222 52.11428333)
52,loading start,2019-03-14 14:58:47.020885,130000.0,POINT (4.25222222 52.11428333)
53,loading stop,2019-03-14 15:54:20.354218,135000.0,POINT (4.25222222 52.11428333)
54,loading start,2019-03-14 17:56:14.502492,135000.0,POINT (4.25222222 52.11428333)
55,loading stop,2019-03-14 18:51:47.835826,140000.0,POINT (4.25222222 52.11428333)
56,loading start,2019-03-14 20:53:41.984100,140000.0,POINT (4.25222222 52.11428333)
57,loading stop,2019-03-14 21:49:15.317433,145000.0,POINT (4.25222222 52.11428333)
58,loading start,2019-03-14 23:51:09.465707,145000.0,POINT (4.25222222 52.11428333)
59,loading stop,2019-03-15 00:46:42.799041,150000.0,POINT (4.25222222 52.11428333)
60,loading start,2019-03-15 02:48:36.947315,150000.0,POINT (4.25222222 52.11428333)
61,loading stop,2019-03-15 03:44:10.280648,155000.0,POINT (4.25222222 52.11428333)
62,loading start,2019-03-15 05:46:04.428922,155000.0,POINT (4.25222222 52.11428333)
63,loading stop,2019-03-15 06:41:37.762255,160000.0,POINT (4.25222222 52.11428333)
64,loading start,2019-03-15 08:43:31.910530,160000.0,POINT (4.25222222 52.11428333)
65,loading stop,2019-03-15 09:39:05.243863,165000.0,POINT (4.25222222 52.11428333)
66,loading start,2019-03-15 11:40:59.392137,165000.0,POINT (4.25222222 52.11428333)
67,loading stop,2019-03-15 12:36:32.725470,170000.0,POINT (4.25222222 52.11428333)
68,loading start,2019-03-15 14:38:26.873744,170000.0,POINT (4.25222222 52.11428333)
69,loading stop,2019-03-15 15:34:00.207078,175000.0,POINT (4.25222222 52.11428333)
70,loading start,2019-03-15 17:35:54.355352,175000.0,POINT (4.25222222 52.11428333)
71,loading stop,2019-03-15 18:31:27.688685,180000.0,POINT (4.25222222 52.11428333)
72,loading start,2019-03-15 20:33:21.836959,180000.0,POINT (4.25222222 52.11428333)
73,loading stop,2019-03-15 21:28:55.170293,185000.0,POINT (4.25222222 52.11428333)
74,loading start,2019-03-15 23:30:49.318567,185000.0,POINT (4.25222222 52.11428333)
75,loading stop,2019-03-16 00:26:22.651900,190000.0,POINT (4.25222222 52.11428333)
76,loading start,2019-03-16 02:28:16.800174,190000.0,POINT (4.25222222 52.11428333)
77,loading stop,2019-03-16 03:23:50.133507,195000.0,POINT (4.25222222 52.11428333)
78,loading start,2019-03-16 05:25:44.281782,195000.0,POINT (4.25222222 52.11428333)
79,loading stop,2019-03-16 06:21:17.615115,200000.0,POINT (4.25222222 52.11428333)
80,loading start,2019-03-16 08:23:11.763389,200000.0,POINT (4.25222222 52.11428333)
81,loading stop,2019-03-16 09:18:45.096722,205000.0,POINT (4.25222222 52.11428333)
82,loading start,2019-03-16 11:20:39.244997,205000.0,POINT (4.25222222 52.11428333)
83,loading stop,2019-03-16 12:16:12.578330,210000.0,POINT (4.25222222 52.11428333)
84,loading start,2019-03-16 14:18:06.726604,210000.0,POINT (4.25222222 52.11428333)
85,loading stop,2019-03-16 15:13:40.059937,215000.0,POINT (4.25222222 52.11428333)
86,loading start,2019-03-16 17:15:34.208211,215000.0,POINT (4.25222222 52.11428333)
87,loading stop,2019-03-16 18:11:07.541545,220000.0,POINT (4.25222222 52.11428333)
88,loading start,2019-03-16 20:13:01.689819,220000.0,POINT (4.25222222 52.11428333)
89,loading stop,2019-03-16 21:08:35.023152,225000.0,POINT (4.25222222 52.11428333)
90,loading start,2019-03-16 23:10:29.171426,225000.0,POINT (4.25222222 52.11428333)
91,loading stop,2019-03-17 00:06:02.504760,230000.0,POINT (4.25222222 52.11428333)
92,loading start,2019-03-17 02:07:56.653034,230000.0,POINT (4.25222222 52.11428333)
93,loading stop,2019-03-17 03:03:29.986367,235000.0,POINT (4.25222222 52.11428333)
94,loading start,2019-03-17 05:05:24.134641,235000.0,POINT (4.25222222 52.11428333)
95,loading stop,2019-03-17 06:00:57.467974,240000.0,POINT (4.25222222 52.11428333)
96,loading start,2019-03-17 08:02:51.616249,240000.0,POINT (4.25222222 52.11428333)
97,loading stop,2019-03-17 08:58:24.949582,245000.0,POINT (4.25222222 52.11428333)
98,loading start,2019-03-17 11:00:19.097856,245000.0,POINT (4.25222222 52.11428333)
99,loading stop,2019-03-17 11:55:52.431189,250000.0,POINT (4.25222222 52.11428333)
100,loading start,2019-03-17 13:57:46.579463,250000.0,POINT (4.25222222 52.11428333)
101,loading stop,2019-03-17 14:53:19.912797,255000.0,POINT (4.25222222 52.11428333)
102,loading start,2019-03-17 16:55:14.061071,255000.0,POINT (4.25222222 52.11428333)
103,loading stop,2019-03-17 17:50:47.394404,260000.0,POINT (4.25222222 52.11428333)
104,loading start,2019-03-17 19:52:41.542678,260000.0,POINT (4.25222222 52.11428333)
105,loading stop,2019-03-17 20:48:14.876012,265000.0,POINT (4.25222222 52.11428333)
106,loading start,2019-03-17 22:50:09.024286,265000.0,POINT (4.25222222 52.11428333)
107,loading stop,2019-03-17 23:45:42.357619,270000.0,POINT (4.25222222 52.11428333)
108,loading start,2019-03-18 01:47:36.505893,270000.0,POINT (4.25222222 52.11428333)
109,loading stop,2019-03-18 02:43:09.839226,275000.0,POINT (4.25222222 52.11428333)
110,loading start,2019-03-18 04:45:03.987501,275000.0,POINT (4.25222222 52.11428333)
111,loading stop,2019-03-18 05:40:37.320834,280000.0,POINT (4.25222222 52.11428333)
112,loading start,2019-03-18 07:42:31.469108,280000.0,POINT (4.25222222 52.11428333)
113,loading stop,2019-03-18 08:38:04.802441,285000.0,POINT (4.25222222 52.11428333)
114,loading start,2019-03-18 10:39:58.950716,285000.0,POINT (4.25222222 52.11428333)
115,loading stop,2019-03-18 11:35:32.284049,290000.0,POINT (4.25222222 52.11428333)
116,loading start,2019-03-18 13:37:26.432323,290000.0,POINT (4.25222222 52.11428333)
117,loading stop,2019-03-18 14:32:59.765656,295000.0,POINT (4.25222222 52.11428333)
118,loading start,2019-03-18 16:34:53.913930,295000.0,POINT (4.25222222 52.11428333)
119,loading stop,2019-03-18 17:30:27.247264,300000.0,POINT (4.25222222 52.11428333)
120,loading start,2019-03-18 19:32:21.395538,300000.0,POINT (4.25222222 52.11428333)
121,loading stop,2019-03-18 20:27:54.728871,305000.0,POINT (4.25222222 52.11428333)
122,loading start,2019-03-18 22:29:48.877145,305000.0,POINT (4.25222222 52.11428333)
123,loading stop,2019-03-18 23:25:22.210479,310000.0,POINT (4.25222222 52.11428333)
124,loading start,2019-03-19 01:27:16.358753,310000.0,POINT (4.25222222 52.11428333)
125,loading stop,2019-03-19 02:22:49.692086,315000.0,POINT (4.25222222 52.11428333)
126,loading start,2019-03-19 04:24:43.840360,315000.0,POINT (4.25222222 52.11428333)
127,loading stop,2019-03-19 05:20:17.173693,320000.0,POINT (4.25222222 52.11428333)
128,loading start,2019-03-19 07:22:11.321968,320000.0,POINT (4.25222222 52.11428333)
129,loading stop,2019-03-19 08:17:44.655301,325000.0,POINT (4.25222222 52.11428333)
130,loading start,2019-03-19 10:19:38.803575,325000.0,POINT (4.25222222 52.11428333)
131,loading stop,2019-03-19 11:15:12.136908,330000.0,POINT (4.25222222 52.11428333)
132,loading start,2019-03-19 13:17:06.285182,330000.0,POINT (4.25222222 52.11428333)
133,loading stop,2019-03-19 14:12:39.618516,335000.0,POINT (4.25222222 52.11428333)
134,loading start,2019-03-19 16:14:33.766790,335000.0,POINT (4.25222222 52.11428333)
135,loading stop,2019-03-19 17:10:07.100123,340000.0,POINT (4.25222222 52.11428333)
136,loading start,2019-03-19 19:12:01.248397,340000.0,POINT (4.25222222 52.11428333)
137,loading stop,2019-03-19 20:07:34.581731,345000.0,POINT (4.25222222 52.11428333)
138,loading start,2019-03-19 22:09:28.730005,345000.0,POINT (4.25222222 52.11428333)
139,loading stop,2019-03-19 23:05:02.063338,350000.0,POINT (4.25222222 52.11428333)
140,loading start,2019-03-20 01:06:56.211612,350000.0,POINT (4.25222222 52.11428333)
141,loading stop,2019-03-20 02:02:29.544945,355000.0,POINT (4.25222222 52.11428333)
142,loading start,2019-03-20 04:04:23.693220,355000.0,POINT (4.25222222 52.11428333)
143,loading stop,2019-03-20 04:59:57.026553,360000.0,POINT (4.25222222 52.11428333)
144,loading start,2019-03-20 07:01:51.174827,360000.0,POINT (4.25222222 52.11428333)
145,loading stop,2019-03-20 07:57:24.508160,365000.0,POINT (4.25222222 52.11428333)
146,loading start,2019-03-20 09:59:18.656435,365000.0,POINT (4.25222222 52.11428333)
147,loading stop,2019-03-20 10:54:51.989768,370000.0,POINT (4.25222222 52.11428333)
148,loading start,2019-03-20 12:56:46.138042,370000.0,POINT (4.25222222 52.11428333)
149,loading stop,2019-03-20 13:52:19.471375,375000.0,POINT (4.25222222 52.11428333)
150,loading start,2019-03-20 15:54:13.619649,375000.0,POINT (4.25222222 52.11428333)
151,loading stop,2019-03-20 16:49:46.952983,380000.0,POINT (4.25222222 52.11428333)
152,loading start,2019-03-20 18:51:41.101257,380000.0,POINT (4.25222222 52.11428333)
153,loading stop,2019-03-20 19:47:14.434590,385000.0,POINT (4.25222222 52.11428333)
154,loading start,2019-03-20 21:49:08.582864,385000.0,POINT (4.25222222 52.11428333)
155,loading stop,2019-03-20 22:44:41.916198,390000.0,POINT (4.25222222 52.11428333)
156,loading start,2019-03-21 00:46:36.064472,390000.0,POINT (4.25222222 52.11428333)
157,loading stop,2019-03-21 01:42:09.397805,395000.0,POINT (4.25222222 52.11428333)
158,loading start,2019-03-21 03:44:03.546079,395000.0,POINT (4.25222222 52.11428333)
159,loading stop,2019-03-21 04:39:36.879412,400000.0,POINT (4.25222222 52.11428333)
160,loading start,2019-03-21 06:41:31.027687,400000.0,POINT (4.25222222 52.11428333)
161,loading stop,2019-03-21 07:37:04.361020,405000.0,POINT (4.25222222 52.11428333)
162,loading start,2019-03-21 09:38:58.509294,405000.0,POINT (4.25222222 52.11428333)
163,loading stop,2019-03-21 10:34:31.842627,410000.0,POINT (4.25222222 52.11428333)
164,loading start,2019-03-21 12:36:25.990901,410000.0,POINT (4.25222222 52.11428333)
165,loading stop,2019-03-21 13:31:59.324235,415000.0,POINT (4.25222222 52.11428333)
166,loading start,2019-03-21 15:33:53.472509,415000.0,POINT (4.25222222 52.11428333)
167,loading stop,2019-03-21 16:29:26.805842,420000.0,POINT (4.25222222 52.11428333)
168,loading start,2019-03-21 18:31:20.954116,420000.0,POINT (4.25222222 52.11428333)
169,loading stop,2019-03-21 19:26:54.287450,425000.0,POINT (4.25222222 52.11428333)
170,loading start,2019-03-21 21:28:48.435724,425000.0,POINT (4.25222222 52.11428333)
171,loading stop,2019-03-21 22:24:21.769057,430000.0,POINT (4.25222222 52.11428333)
