,Message,Timestamp,Value,Geometry
0,loading start,2019-03-11 08:34:24.000000,0.0,POINT (4.18055556 52.18664444)
1,loading stop,2019-03-11 09:29:57.333333,5000.0,POINT (4.18055556 52.18664444)
2,sailing filled start,2019-03-11 09:29:57.333333,5000.0,POINT (4.18055556 52.18664444)
3,sailing filled stop,2019-03-11 10:04:52.499092,5000.0,POINT (4.25222222 52.11428333)
4,sailing filled start,2019-03-11 10:04:52.499092,5000.0,POINT (4.25222222 52.11428333)
5,sailing filled stop,2019-03-11 10:04:52.499092,5000.0,POINT (4.25222222 52.11428333)
6,unloading start,2019-03-11 10:04:52.499092,5000.0,POINT (4.25222222 52.11428333)
7,unloading stop,2019-03-11 11:00:25.832425,0.0,POINT (4.25222222 52.11428333)
8,sailing empty start,2019-03-11 11:00:25.832425,0.0,POINT (4.25222222 52.11428333)
9,sailing empty stop,2019-03-11 11:31:51.481607,0.0,POINT (4.18055556 52.18664444)
10,sailing empty start,2019-03-11 11:31:51.481607,0.0,POINT (4.18055556 52.18664444)
11,sailing empty stop,2019-03-11 11:31:51.481607,0.0,POINT (4.18055556 52.18664444)
12,loading start,2019-03-11 11:31:51.481607,0.0,POINT (4.18055556 52.18664444)
13,loading stop,2019-03-11 12:27:24.814941,5000.0,POINT (4.18055556 52.18664444)
14,sailing filled start,2019-03-11 12:27:24.814941,5000.0,POINT (4.18055556 52.18664444)
15,sailing filled stop,2019-03-11 13:02:19.980699,5000.0,POINT (4.25222222 52.11428333)
16,sailing filled start,2019-03-11 13:02:19.980699,5000.0,POINT (4.25222222 52.11428333)
17,sailing filled stop,2019-03-11 13:02:19.980699,5000.0,POINT (4.25222222 52.11428333)
18,unloading start,2019-03-11 13:02:19.980699,5000.0,POINT (4.25222222 52.11428333)
19,unloading stop,2019-03-11 13:57:53.314032,0.0,POINT (4.25222222 52.11428333)
20,sailing empty start,2019-03-11 13:57:53.314032,0.0,POINT (4.25222222 52.11428333)
21,sailing empty stop,2019-03-11 14:29:18.963215,0.0,POINT (4.18055556 52.18664444)
22,sailing empty start,2019-03-11 14:29:18.963215,0.0,POINT (4.18055556 52.18664444)
23,sailing empty stop,2019-03-11 14:29:18.963215,0.0,POINT (4.18055556 52.18664444)
24,loading start,2019-03-11 14:29:18.963215,0.0,POINT (4.18055556 52.18664444)
25,loading stop,2019-03-11 15:24:52.296548,5000.0,POINT (4.18055556 52.18664444)
26,sailing filled start,2019-03-11 15:24:52.296548,5000.0,POINT (4.18055556 52.18664444)
27,sailing filled stop,2019-03-11 15:59:47.462306,5000.0,POINT (4.25222222 52.11428333)
28,sailing filled start,2019-03-11 15:59:47.462306,5000.0,POINT (4.25222222 52.11428333)
29,sailing filled stop,2019-03-11 15:59:47.462306,5000.0,POINT (4.25222222 52.11428333)
30,unloading start,2019-03-11 15:59:47.462306,5000.0,POINT (4.25222222 52.11428333)
31,unloading stop,2019-03-11 16:55:20.795640,0.0,POINT (4.25222222 52.11428333)
32,sailing empty start,2019-03-11 16:55:20.795640,0.0,POINT (4.25222222 52.11428333)
33,sailing empty stop,2019-03-11 17:26:46.444822,0.0,POINT (4.18055556 52.18664444)
34,sailing empty start,2019-03-11 17:26:46.444822,0.0,POINT (4.18055556 52.18664444)
35,sailing empty stop,2019-03-11 17:26:46.444822,0.0,POINT (4.18055556 52.18664444)
36,loading start,2019-03-11 17:26:46.444822,0.0,POINT (4.18055556 52.18664444)
37,loading stop,2019-03-11 18:22:19.778156,5000.0,POINT (4.18055556 52.18664444)
38,sailing filled start,2019-03-11 18:22:19.778156,5000.0,POINT (4.18055556 52.18664444)
39,sailing filled stop,2019-03-11 18:57:14.943914,5000.0,POINT (4.25222222 52.11428333)
40,sailing filled start,2019-03-11 18:57:14.943914,5000.0,POINT (4.25222222 52.11428333)
41,sailing filled stop,2019-03-11 18:57:14.943914,5000.0,POINT (4.25222222 52.11428333)
42,unloading start,2019-03-11 18:57:14.943914,5000.0,POINT (4.25222222 52.11428333)
43,unloading stop,2019-03-11 19:52:48.277247,0.0,POINT (4.25222222 52.11428333)
44,sailing empty start,2019-03-11 19:52:48.277247,0.0,POINT (4.25222222 52.11428333)
45,sailing empty stop,2019-03-11 20:24:13.926430,0.0,POINT (4.18055556 52.18664444)
46,sailing empty start,2019-03-11 20:24:13.926430,0.0,POINT (4.18055556 52.18664444)
47,sailing empty stop,2019-03-11 20:24:13.926430,0.0,POINT (4.18055556 52.18664444)
48,loading start,2019-03-11 20:24:13.926430,0.0,POINT (4.18055556 52.18664444)
49,loading stop,2019-03-11 21:19:47.259763,5000.0,POINT (4.18055556 52.18664444)
50,sailing filled start,2019-03-11 21:19:47.259763,5000.0,POINT (4.18055556 52.18664444)
51,sailing filled stop,2019-03-11 21:54:42.425521,5000.0,POINT (4.25222222 52.11428333)
52,sailing filled start,2019-03-11 21:54:42.425521,5000.0,POINT (4.25222222 52.11428333)
53,sailing filled stop,2019-03-11 21:54:42.425521,5000.0,POINT (4.25222222 52.11428333)
54,unloading start,2019-03-11 21:54:42.425521,5000.0,POINT (4.25222222 52.11428333)
55,unloading stop,2019-03-11 22:50:15.758855,0.0,POINT (4.25222222 52.11428333)
56,sailing empty start,2019-03-11 22:50:15.758855,0.0,POINT (4.25222222 52.11428333)
57,sailing empty stop,2019-03-11 23:21:41.408037,0.0,POINT (4.18055556 52.18664444)
58,sailing empty start,2019-03-11 23:21:41.408037,0.0,POINT (4.18055556 52.18664444)
59,sailing empty stop,2019-03-11 23:21:41.408037,0.0,POINT (4.18055556 52.18664444)
60,loading start,2019-03-11 23:21:41.408037,0.0,POINT (4.18055556 52.18664444)
61,loading stop,2019-03-12 00:17:14.741370,5000.0,POINT (4.18055556 52.18664444)
62,sailing filled start,2019-03-12 00:17:14.741370,5000.0,POINT (4.18055556 52.18664444)
63,sailing filled stop,2019-03-12 00:52:09.907129,5000.0,POINT (4.25222222 52.11428333)
64,sailing filled start,2019-03-12 00:52:09.907129,5000.0,POINT (4.25222222 52.11428333)
65,sailing filled stop,2019-03-12 00:52:09.907129,5000.0,POINT (4.25222222 52.11428333)
66,unloading start,2019-03-12 00:52:09.907129,5000.0,POINT (4.25222222 52.11428333)
67,unloading stop,2019-03-12 01:47:43.240462,0.0,POINT (4.25222222 52.11428333)
68,sailing empty start,2019-03-12 01:47:43.240462,0.0,POINT (4.25222222 52.11428333)
69,sailing empty stop,2019-03-12 02:19:08.889645,0.0,POINT (4.18055556 52.18664444)
70,sailing empty start,2019-03-12 02:19:08.889645,0.0,POINT (4.18055556 52.18664444)
71,sailing empty stop,2019-03-12 02:19:08.889645,0.0,POINT (4.18055556 52.18664444)
72,loading start,2019-03-12 02:19:08.889645,0.0,POINT (4.18055556 52.18664444)
73,loading stop,2019-03-12 03:14:42.222978,5000.0,POINT (4.18055556 52.18664444)
74,sailing filled start,2019-03-12 03:14:42.222978,5000.0,POINT (4.18055556 52.18664444)
75,sailing filled stop,2019-03-12 03:49:37.388736,5000.0,POINT (4.25222222 52.11428333)
76,sailing filled start,2019-03-12 03:49:37.388736,5000.0,POINT (4.25222222 52.11428333)
