,Message,Timestamp,Value,Geometry
0,started,2019-03-11 08:34:24.000000,-1.0,POINT (4.18055556 52.18664444)
1,transporting start,2019-03-11 08:34:24.000000,5000.0,POINT (4.18055556 52.18664444)
2,transporting stop,2019-03-11 11:00:25.832425,5000.0,POINT (4.25222222 52.11428333)
3,transporting start,2019-03-11 11:00:25.832425,5000.0,POINT (4.25222222 52.11428333)
4,transporting stop,2019-03-11 13:57:53.314032,5000.0,POINT (4.25222222 52.11428333)
5,transporting start,2019-03-11 13:57:53.314032,5000.0,POINT (4.25222222 52.11428333)
6,transporting stop,2019-03-11 16:55:20.795640,5000.0,POINT (4.25222222 52.11428333)
7,transporting start,2019-03-11 16:55:20.795640,5000.0,POINT (4.25222222 52.11428333)
8,transporting stop,2019-03-11 19:52:48.277247,5000.0,POINT (4.25222222 52.11428333)
9,transporting start,2019-03-11 19:52:48.277247,5000.0,POINT (4.25222222 52.11428333)
10,transporting stop,2019-03-11 22:50:15.758855,5000.0,POINT (4.25222222 52.11428333)
11,transporting start,2019-03-11 22:50:15.758855,5000.0,POINT (4.25222222 52.11428333)
12,transporting stop,2019-03-12 01:47:43.240462,5000.0,POINT (4.25222222 52.11428333)
13,transporting start,2019-03-12 01:47:43.240462,5000.0,POINT (4.25222222 52.11428333)
14,transporting stop,2019-03-12 04:45:10.722070,5000.0,POINT (4.25222222 52.11428333)
15,transporting start,2019-03-12 04:45:10.722070,5000.0,POINT (4.25222222 52.11428333)
16,transporting stop,2019-03-12 07:42:38.203677,5000.0,POINT (4.25222222 52.11428333)
17,transporting start,2019-03-12 07:42:38.203677,5000.0,POINT (4.25222222 52.11428333)
18,transporting stop,2019-03-12 10:40:05.685284,5000.0,POINT (4.25222222 52.11428333)
19,transporting start,2019-03-12 10:40:05.685284,5000.0,POINT (4.25222222 52.11428333)
20,transporting stop,2019-03-12 13:37:33.166892,5000.0,POINT (4.25222222 52.11428333)
21,transporting start,2019-03-12 13:37:33.166892,5000.0,POINT (4.25222222 52.11428333)
22,transporting stop,2019-03-12 16:35:00.648499,5000.0,POINT (4.25222222 52.11428333)
23,transporting start,2019-03-12 16:35:00.648499,5000.0,POINT (4.25222222 52.11428333)
24,transporting stop,2019-03-12 19:32:28.130107,5000.0,POINT (4.25222222 52.11428333)
25,transporting start,2019-03-12 19:32:28.130107,5000.0,POINT (4.25222222 52.11428333)
26,transporting stop,2019-03-12 22:29:55.611714,5000.0,POINT (4.25222222 52.11428333)
27,transporting start,2019-03-12 22:29:55.611714,5000.0,POINT (4.25222222 52.11428333)
28,transporting stop,2019-03-13 01:27:23.093322,5000.0,POINT (4.25222222 52.11428333)
29,transporting start,2019-03-13 01:27:23.093322,5000.0,POINT (4.25222222 52.11428333)
30,transporting stop,2019-03-13 04:24:50.574929,5000.0,POINT (4.25222222 52.11428333)
31,transporting start,2019-03-13 04:24:50.574929,5000.0,POINT (4.25222222 52.11428333)
32,transporting stop,2019-03-13 07:22:18.056536,5000.0,POINT (4.25222222 52.11428333)
33,transporting start,2019-03-13 07:22:18.056536,5000.0,POINT (4.25222222 52.11428333)
34,transporting stop,2019-03-13 10:19:45.538144,5000.0,POINT (4.25222222 52.11428333)
