,Message,Timestamp,Value,Geometry
0,unloading start,2019-03-11 08:34:24.000000,500000.0,POINT (4.18055556 52.18664444)
1,unloading stop,2019-03-11 09:29:57.333333,495000.0,POINT (4.18055556 52.18664444)
2,unloading start,2019-03-11 11:31:51.481607,495000.0,POINT (4.18055556 52.18664444)
3,unloading stop,2019-03-11 12:27:24.814941,490000.0,POINT (4.18055556 52.18664444)
4,unloading start,2019-03-11 14:29:18.963215,490000.0,POINT (4.18055556 52.18664444)
5,unloading stop,2019-03-11 15:24:52.296548,485000.0,POINT (4.18055556 52.18664444)
6,unloading start,2019-03-11 17:26:46.444822,485000.0,POINT (4.18055556 52.18664444)
7,unloading stop,2019-03-11 18:22:19.778156,480000.0,POINT (4.18055556 52.18664444)
8,unloading start,2019-03-11 20:24:13.926430,480000.0,POINT (4.18055556 52.18664444)
9,unloading stop,2019-03-11 21:19:47.259763,475000.0,POINT (4.18055556 52.18664444)
10,unloading start,2019-03-11 23:21:41.408037,475000.0,POINT (4.18055556 52.18664444)
11,unloading stop,2019-03-12 00:17:14.741370,470000.0,POINT (4.18055556 52.18664444)
12,unloading start,2019-03-12 02:19:08.889645,470000.0,POINT (4.18055556 52.18664444)
13,unloading stop,2019-03-12 03:14:42.222978,465000.0,POINT (4.18055556 52.18664444)
14,unloading start,2019-03-12 05:16:36.371252,465000.0,POINT (4.18055556 52.18664444)
15,unloading stop,2019-03-12 06:12:09.704585,460000.0,POINT (4.18055556 52.18664444)
16,unloading start,2019-03-12 08:14:03.852859,460000.0,POINT (4.18055556 52.18664444)
17,unloading stop,2019-03-12 09:09:37.186193,455000.0,POINT (4.18055556 52.18664444)
18,unloading start,2019-03-12 11:11:31.334467,455000.0,POINT (4.18055556 52.18664444)
19,unloading stop,2019-03-12 12:07:04.667800,450000.0,POINT (4.18055556 52.18664444)
20,unloading start,2019-03-12 14:08:58.816074,450000.0,POINT (4.18055556 52.18664444)
21,unloading stop,2019-03-12 15:04:32.149408,445000.0,POINT (4.18055556 52.18664444)
22,unloading start,2019-03-12 17:06:26.297682,445000.0,POINT (4.18055556 52.18664444)
23,unloading stop,2019-03-12 18:01:59.631015,440000.0,POINT (4.18055556 52.18664444)
24,unloading start,2019-03-12 20:03:53.779289,440000.0,POINT (4.18055556 52.18664444)
25,unloading stop,2019-03-12 20:59:27.112622,435000.0,POINT (4.18055556 52.18664444)
26,unloading start,2019-03-12 23:01:21.260897,435000.0,POINT (4.18055556 52.18664444)
27,unloading stop,2019-03-12 23:56:54.594230,430000.0,POINT (4.18055556 52.18664444)
28,unloading start,2019-03-13 01:58:48.742504,430000.0,POINT (4.18055556 52.18664444)
29,unloading stop,2019-03-13 02:54:22.075837,425000.0,POINT (4.18055556 52.18664444)
30,unloading start,2019-03-13 04:56:16.224112,425000.0,POINT (4.18055556 52.18664444)
31,unloading stop,2019-03-13 05:51:49.557445,420000.0,POINT (4.18055556 52.18664444)
32,unloading start,2019-03-13 07:53:43.705719,420000.0,POINT (4.18055556 52.18664444)
33,unloading stop,2019-03-13 08:49:17.039052,415000.0,POINT (4.18055556 52.18664444)
34,unloading start,2019-03-13 10:51:11.187326,415000.0,POINT (4.18055556 52.18664444)
35,unloading stop,2019-03-13 11:46:44.520660,410000.0,POINT (4.18055556 52.18664444)
